-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 06/01/2024 through 05/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOTCORR
19.0,83.125,2024,153,6.81
19.0,83.75,2024,153,10.08
19.0,84.375,2024,153,12.27
19.0,85.0,2024,153,11.11
19.0,85.625,2024,153,10.74
19.0,86.25,2024,153,11.59
19.0,86.875,2024,153,10.16
19.0,87.5,2024,153,8.28
19.0,88.125,2024,153,4.4
19.0,88.75,2024,153,3.76
19.0,89.375,2024,153,5.07
19.0,90.0,2024,153,7.28
19.0,90.625,2024,153,5.53
19.5,83.125,2024,153,3.18
19.5,83.75,2024,153,7.2
19.5,84.375,2024,153,11.12
19.5,85.0,2024,153,10.1
19.5,85.625,2024,153,9.17
19.5,86.25,2024,153,11.08
19.5,86.875,2024,153,10.6
19.5,87.5,2024,153,8.63
19.5,88.125,2024,153,4.62
19.5,88.75,2024,153,3.52
19.5,89.375,2024,153,3.52
19.5,90.0,2024,153,3.95
19.5,90.625,2024,153,3.74
20.0,83.125,2024,153,1.07
20.0,83.75,2024,153,3.6
20.0,84.375,2024,153,7.0
20.0,85.0,2024,153,6.68
20.0,85.625,2024,153,5.27
20.0,86.25,2024,153,8.75
20.0,86.875,2024,153,10.0
20.0,87.5,2024,153,8.39
20.0,88.125,2024,153,5.17
20.0,88.75,2024,153,4.33
20.0,89.375,2024,153,4.83
20.0,90.0,2024,153,7.69
20.0,90.625,2024,153,9.99
20.5,83.125,2024,153,0.25
20.5,83.75,2024,153,1.52
20.5,84.375,2024,153,4.07
20.5,85.0,2024,153,3.91
20.5,85.625,2024,153,1.97
20.5,86.25,2024,153,5.11
20.5,86.875,2024,153,7.95
20.5,87.5,2024,153,7.23
20.5,88.125,2024,153,5.03
20.5,88.75,2024,153,4.69
20.5,89.375,2024,153,6.05
20.5,90.0,2024,153,11.19
20.5,90.625,2024,153,15.59
21.0,83.125,2024,153,0.36
21.0,83.75,2024,153,1.79
21.0,84.375,2024,153,4.5
21.0,85.0,2024,153,4.26
21.0,85.625,2024,153,1.71
21.0,86.25,2024,153,2.4
21.0,86.875,2024,153,5.74
21.0,87.5,2024,153,4.76
21.0,88.125,2024,153,3.86
21.0,88.75,2024,153,3.55
21.0,89.375,2024,153,5.09
21.0,90.0,2024,153,10.22
21.0,90.625,2024,153,14.63
21.5,83.125,2024,153,1.01
21.5,83.75,2024,153,3.13
21.5,84.375,2024,153,6.39
21.5,85.0,2024,153,6.4
21.5,85.625,2024,153,3.18
21.5,86.25,2024,153,2.22
21.5,86.875,2024,153,4.03
21.5,87.5,2024,153,3.57
21.5,88.125,2024,153,3.07
21.5,88.75,2024,153,2.91
21.5,89.375,2024,153,4.06
21.5,90.0,2024,153,7.57
