-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 06/01/2025 through 06/06/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
21.0,85.625,2025,152,62.44
21.0,86.25,2025,152,67.32
21.0,86.875,2025,152,77.71
21.0,87.5,2025,152,87.58
21.0,88.125,2025,152,87.42
21.0,88.75,2025,152,86.6
21.0,89.375,2025,152,86.94
21.5,85.625,2025,152,59.95
21.5,86.25,2025,152,63.86
21.5,86.875,2025,152,71.74
21.5,87.5,2025,152,82.64
21.5,88.125,2025,152,83.88
21.5,88.75,2025,152,83.3
21.5,89.375,2025,152,84.89
22.0,85.625,2025,152,54.31
22.0,86.25,2025,152,59.57
22.0,86.875,2025,152,65.1
22.0,87.5,2025,152,74.51
22.0,88.125,2025,152,78.62
22.0,88.75,2025,152,78.87
22.0,89.375,2025,152,82.04
22.5,85.625,2025,152,50.06
22.5,86.25,2025,152,55.03
22.5,86.875,2025,152,61.92
22.5,87.5,2025,152,68.88
22.5,88.125,2025,152,74.41
22.5,88.75,2025,152,77.23
22.5,89.375,2025,152,81.01
23.0,85.625,2025,152,47.77
23.0,86.25,2025,152,52.35
23.0,86.875,2025,152,58.55
23.0,87.5,2025,152,65.04
23.0,88.125,2025,152,70.56
23.0,88.75,2025,152,76.86
23.0,89.375,2025,152,80.66
23.5,85.625,2025,152,46.62
23.5,86.25,2025,152,49.92
23.5,86.875,2025,152,53.76
23.5,87.5,2025,152,60.97
23.5,88.125,2025,152,68.79
23.5,88.75,2025,152,77.46
23.5,89.375,2025,152,80.9
24.0,85.625,2025,152,46.09
24.0,86.25,2025,152,48.67
24.0,86.875,2025,152,49.67
24.0,87.5,2025,152,56.39
24.0,88.125,2025,152,65.94
24.0,88.75,2025,152,77.21
24.0,89.375,2025,152,81.38
24.5,85.625,2025,152,43.78
24.5,86.25,2025,152,44.78
24.5,86.875,2025,152,45.53
24.5,87.5,2025,152,52.08
24.5,88.125,2025,152,61.71
24.5,88.75,2025,152,72.79
24.5,89.375,2025,152,78.55
25.0,85.625,2025,152,35.97
25.0,86.25,2025,152,37.41
25.0,86.875,2025,152,39.22
25.0,87.5,2025,152,46.31
25.0,88.125,2025,152,56.42
25.0,88.75,2025,152,66.77
25.0,89.375,2025,152,74.56
25.5,85.625,2025,152,33.13
25.5,86.25,2025,152,33.5
25.5,86.875,2025,152,34.7
25.5,87.5,2025,152,40.98
25.5,88.125,2025,152,52.52
25.5,88.75,2025,152,63.2
25.5,89.375,2025,152,72.27
26.0,85.625,2025,152,30.94
26.0,86.25,2025,152,31.26
26.0,86.875,2025,152,32.99
26.0,87.5,2025,152,40.48
26.0,88.125,2025,152,51.46
26.0,88.75,2025,152,60.89
26.0,89.375,2025,152,71.4
26.5,85.625,2025,152,30.29
26.5,86.25,2025,152,31.67
26.5,86.875,2025,152,34.96
26.5,87.5,2025,152,45.21
26.5,88.125,2025,152,57.51
26.5,88.75,2025,152,64.8
26.5,89.375,2025,152,76.04
21.0,85.625,2025,153,46.77
21.0,86.25,2025,153,53.62
21.0,86.875,2025,153,65.57
21.0,87.5,2025,153,80.98
21.0,88.125,2025,153,86.05
21.0,88.75,2025,153,89.18
21.0,89.375,2025,153,90.8
21.5,85.625,2025,153,43.1
21.5,86.25,2025,153,46.75
21.5,86.875,2025,153,56.33
21.5,87.5,2025,153,71.0
21.5,88.125,2025,153,78.54
21.5,88.75,2025,153,81.72
21.5,89.375,2025,153,86.3
22.0,85.625,2025,153,39.95
22.0,86.25,2025,153,42.63
22.0,86.875,2025,153,48.26
22.0,87.5,2025,153,60.6
22.0,88.125,2025,153,69.38
22.0,88.75,2025,153,72.34
22.0,89.375,2025,153,79.67
22.5,85.625,2025,153,38.09
22.5,86.25,2025,153,41.3
22.5,86.875,2025,153,46.96
22.5,87.5,2025,153,56.61
22.5,88.125,2025,153,63.18
22.5,88.75,2025,153,67.71
22.5,89.375,2025,153,75.5
23.0,85.625,2025,153,36.74
23.0,86.25,2025,153,39.44
23.0,86.875,2025,153,44.93
23.0,87.5,2025,153,53.69
23.0,88.125,2025,153,59.21
23.0,88.75,2025,153,66.96
23.0,89.375,2025,153,73.28
23.5,85.625,2025,153,35.12
23.5,86.25,2025,153,36.39
23.5,86.875,2025,153,41.42
23.5,87.5,2025,153,49.68
23.5,88.125,2025,153,58.17
23.5,88.75,2025,153,68.71
23.5,89.375,2025,153,73.13
24.0,85.625,2025,153,33.24
24.0,86.25,2025,153,35.1
24.0,86.875,2025,153,39.76
24.0,87.5,2025,153,47.58
24.0,88.125,2025,153,56.8
24.0,88.75,2025,153,70.41
24.0,89.375,2025,153,75.59
24.5,85.625,2025,153,31.38
24.5,86.25,2025,153,32.55
24.5,86.875,2025,153,36.96
24.5,87.5,2025,153,46.56
24.5,88.125,2025,153,54.03
24.5,88.75,2025,153,66.01
24.5,89.375,2025,153,73.04
25.0,85.625,2025,153,26.68
25.0,86.25,2025,153,28.38
25.0,86.875,2025,153,32.01
25.0,87.5,2025,153,42.64
25.0,88.125,2025,153,51.45
25.0,88.75,2025,153,60.93
25.0,89.375,2025,153,68.79
25.5,85.625,2025,153,25.64
25.5,86.25,2025,153,26.84
25.5,86.875,2025,153,29.67
25.5,87.5,2025,153,39.93
25.5,88.125,2025,153,51.03
25.5,88.75,2025,153,59.82
25.5,89.375,2025,153,67.01
26.0,85.625,2025,153,24.7
26.0,86.25,2025,153,27.1
26.0,86.875,2025,153,32.16
26.0,87.5,2025,153,41.84
26.0,88.125,2025,153,52.05
26.0,88.75,2025,153,58.71
26.0,89.375,2025,153,65.56
26.5,85.625,2025,153,25.07
26.5,86.25,2025,153,28.8
26.5,86.875,2025,153,34.28
26.5,87.5,2025,153,42.74
26.5,88.125,2025,153,54.64
26.5,88.75,2025,153,59.57
26.5,89.375,2025,153,68.85
21.0,85.625,2025,154,52.36
21.0,86.25,2025,154,54.03
21.0,86.875,2025,154,64.48
21.0,87.5,2025,154,81.44
21.0,88.125,2025,154,85.62
21.0,88.75,2025,154,87.55
21.0,89.375,2025,154,88.69
21.5,85.625,2025,154,49.6
21.5,86.25,2025,154,52.27
21.5,86.875,2025,154,57.92
21.5,87.5,2025,154,73.24
21.5,88.125,2025,154,78.79
21.5,88.75,2025,154,82.16
21.5,89.375,2025,154,85.78
22.0,85.625,2025,154,45.14
22.0,86.25,2025,154,49.53
22.0,86.875,2025,154,51.32
22.0,87.5,2025,154,60.58
22.0,88.125,2025,154,68.76
22.0,88.75,2025,154,72.97
22.0,89.375,2025,154,79.27
22.5,85.625,2025,154,42.31
22.5,86.25,2025,154,45.46
22.5,86.875,2025,154,47.64
22.5,87.5,2025,154,53.35
22.5,88.125,2025,154,60.35
22.5,88.75,2025,154,66.94
22.5,89.375,2025,154,75.23
23.0,85.625,2025,154,39.73
23.0,86.25,2025,154,41.7
23.0,86.875,2025,154,42.87
23.0,87.5,2025,154,48.74
23.0,88.125,2025,154,54.72
23.0,88.75,2025,154,63.58
23.0,89.375,2025,154,72.53
23.5,85.625,2025,154,35.87
23.5,86.25,2025,154,37.01
23.5,86.875,2025,154,37.43
23.5,87.5,2025,154,42.24
23.5,88.125,2025,154,51.46
23.5,88.75,2025,154,63.53
23.5,89.375,2025,154,72.12
24.0,85.625,2025,154,33.85
24.0,86.25,2025,154,34.49
24.0,86.875,2025,154,33.78
24.0,87.5,2025,154,37.3
24.0,88.125,2025,154,48.43
24.0,88.75,2025,154,64.98
24.0,89.375,2025,154,73.54
24.5,85.625,2025,154,32.79
24.5,86.25,2025,154,32.9
24.5,86.875,2025,154,32.64
24.5,87.5,2025,154,36.62
24.5,88.125,2025,154,46.36
24.5,88.75,2025,154,62.24
24.5,89.375,2025,154,70.66
25.0,85.625,2025,154,29.78
25.0,86.25,2025,154,30.74
25.0,86.875,2025,154,31.74
25.0,87.5,2025,154,35.83
25.0,88.125,2025,154,44.5
25.0,88.75,2025,154,58.43
25.0,89.375,2025,154,66.37
25.5,85.625,2025,154,28.6
25.5,86.25,2025,154,29.15
25.5,86.875,2025,154,30.29
25.5,87.5,2025,154,34.88
25.5,88.125,2025,154,44.3
25.5,88.75,2025,154,57.09
25.5,89.375,2025,154,64.84
26.0,85.625,2025,154,27.1
26.0,86.25,2025,154,27.88
26.0,86.875,2025,154,31.05
26.0,87.5,2025,154,37.24
26.0,88.125,2025,154,46.6
26.0,88.75,2025,154,56.2
26.0,89.375,2025,154,64.36
26.5,85.625,2025,154,25.99
26.5,86.25,2025,154,28.21
26.5,86.875,2025,154,32.82
26.5,87.5,2025,154,39.36
26.5,88.125,2025,154,48.96
26.5,88.75,2025,154,55.98
26.5,89.375,2025,154,67.48
21.0,85.625,2025,155,57.06
21.0,86.25,2025,155,61.17
21.0,86.875,2025,155,73.09
21.0,87.5,2025,155,82.53
21.0,88.125,2025,155,83.89
21.0,88.75,2025,155,85.37
21.0,89.375,2025,155,86.75
21.5,85.625,2025,155,54.57
21.5,86.25,2025,155,59.26
21.5,86.875,2025,155,68.49
21.5,87.5,2025,155,76.74
21.5,88.125,2025,155,79.77
21.5,88.75,2025,155,81.94
21.5,89.375,2025,155,84.22
22.0,85.625,2025,155,50.3
22.0,86.25,2025,155,57.35
22.0,86.875,2025,155,63.1
22.0,87.5,2025,155,68.93
22.0,88.125,2025,155,74.38
22.0,88.75,2025,155,76.69
22.0,89.375,2025,155,80.29
22.5,85.625,2025,155,47.46
22.5,86.25,2025,155,54.21
22.5,86.875,2025,155,59.75
22.5,87.5,2025,155,63.39
22.5,88.125,2025,155,69.56
22.5,88.75,2025,155,73.46
22.5,89.375,2025,155,77.65
23.0,85.625,2025,155,46.45
23.0,86.25,2025,155,51.87
23.0,86.875,2025,155,55.23
23.0,87.5,2025,155,58.97
23.0,88.125,2025,155,65.33
23.0,88.75,2025,155,72.07
23.0,89.375,2025,155,76.33
23.5,85.625,2025,155,45.81
23.5,86.25,2025,155,48.54
23.5,86.875,2025,155,50.91
23.5,87.5,2025,155,55.95
23.5,88.125,2025,155,64.58
23.5,88.75,2025,155,73.11
23.5,89.375,2025,155,76.03
24.0,85.625,2025,155,42.47
24.0,86.25,2025,155,45.11
24.0,86.875,2025,155,47.21
24.0,87.5,2025,155,54.37
24.0,88.125,2025,155,65.59
24.0,88.75,2025,155,75.26
24.0,89.375,2025,155,77.36
24.5,85.625,2025,155,38.56
24.5,86.25,2025,155,40.91
24.5,86.875,2025,155,45.5
24.5,87.5,2025,155,54.85
24.5,88.125,2025,155,65.49
24.5,88.75,2025,155,73.63
24.5,89.375,2025,155,75.5
25.0,85.625,2025,155,35.11
25.0,86.25,2025,155,39.43
25.0,86.875,2025,155,45.74
25.0,87.5,2025,155,54.52
25.0,88.125,2025,155,63.53
25.0,88.75,2025,155,69.3
25.0,89.375,2025,155,72.2
25.5,85.625,2025,155,36.67
25.5,86.25,2025,155,40.69
25.5,86.875,2025,155,45.35
25.5,87.5,2025,155,52.02
25.5,88.125,2025,155,59.83
25.5,88.75,2025,155,66.09
25.5,89.375,2025,155,70.43
26.0,85.625,2025,155,37.55
26.0,86.25,2025,155,41.14
26.0,86.875,2025,155,44.52
26.0,87.5,2025,155,49.3
26.0,88.125,2025,155,56.0
26.0,88.75,2025,155,63.03
26.0,89.375,2025,155,70.46
26.5,85.625,2025,155,38.17
26.5,86.25,2025,155,41.31
26.5,86.875,2025,155,44.67
26.5,87.5,2025,155,48.21
26.5,88.125,2025,155,58.35
26.5,88.75,2025,155,64.73
26.5,89.375,2025,155,74.31
21.0,85.625,2025,156,59.47
21.0,86.25,2025,156,62.92
21.0,86.875,2025,156,75.24
21.0,87.5,2025,156,83.18
21.0,88.125,2025,156,82.85
21.0,88.75,2025,156,82.28
21.0,89.375,2025,156,82.12
21.5,85.625,2025,156,55.95
21.5,86.25,2025,156,61.0
21.5,86.875,2025,156,70.97
21.5,87.5,2025,156,78.42
21.5,88.125,2025,156,78.26
21.5,88.75,2025,156,78.71
21.5,89.375,2025,156,79.87
22.0,85.625,2025,156,52.49
22.0,86.25,2025,156,60.22
22.0,86.875,2025,156,65.84
22.0,87.5,2025,156,71.77
22.0,88.125,2025,156,74.08
22.0,88.75,2025,156,76.16
22.0,89.375,2025,156,78.87
22.5,85.625,2025,156,51.25
22.5,86.25,2025,156,57.64
22.5,86.875,2025,156,63.36
22.5,87.5,2025,156,67.16
