-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 06/01/2025 through 06/06/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
21.0,85.625,2025,152,32.04
21.0,86.25,2025,152,32.01
21.0,86.875,2025,152,31.63
21.0,87.5,2025,152,30.35
21.0,88.125,2025,152,30.37
21.0,88.75,2025,152,30.39
21.0,89.375,2025,152,30.23
21.5,85.625,2025,152,31.29
21.5,86.25,2025,152,31.38
21.5,86.875,2025,152,31.91
21.5,87.5,2025,152,30.91
21.5,88.125,2025,152,30.83
21.5,88.75,2025,152,30.76
21.5,89.375,2025,152,30.44
22.0,85.625,2025,152,31.53
22.0,86.25,2025,152,31.53
22.0,86.875,2025,152,32.24
22.0,87.5,2025,152,31.76
22.0,88.125,2025,152,31.35
22.0,88.75,2025,152,31.21
22.0,89.375,2025,152,30.61
22.5,85.625,2025,152,32.27
22.5,86.25,2025,152,32.52
22.5,86.875,2025,152,32.64
22.5,87.5,2025,152,32.31
22.5,88.125,2025,152,31.69
22.5,88.75,2025,152,31.34
22.5,89.375,2025,152,30.82
23.0,85.625,2025,152,32.52
23.0,86.25,2025,152,32.98
23.0,86.875,2025,152,33.04
23.0,87.5,2025,152,32.69
23.0,88.125,2025,152,32.1
23.0,88.75,2025,152,31.26
23.0,89.375,2025,152,30.81
23.5,85.625,2025,152,32.44
23.5,86.25,2025,152,33.19
23.5,86.875,2025,152,33.52
23.5,87.5,2025,152,33.13
23.5,88.125,2025,152,32.2
23.5,88.75,2025,152,31.03
23.5,89.375,2025,152,30.69
24.0,85.625,2025,152,32.86
24.0,86.25,2025,152,33.31
24.0,86.875,2025,152,33.91
24.0,87.5,2025,152,33.6
24.0,88.125,2025,152,32.45
24.0,88.75,2025,152,30.92
24.0,89.375,2025,152,30.56
24.5,85.625,2025,152,33.93
24.5,86.25,2025,152,34.08
24.5,86.875,2025,152,34.41
24.5,87.5,2025,152,34.03
24.5,88.125,2025,152,32.99
24.5,88.75,2025,152,31.45
24.5,89.375,2025,152,30.87
25.0,85.625,2025,152,36.31
25.0,86.25,2025,152,36.03
25.0,86.875,2025,152,35.76
25.0,87.5,2025,152,34.97
25.0,88.125,2025,152,33.78
25.0,88.75,2025,152,32.23
25.0,89.375,2025,152,31.31
25.5,85.625,2025,152,37.35
25.5,86.25,2025,152,37.23
25.5,86.875,2025,152,36.79
25.5,87.5,2025,152,35.77
25.5,88.125,2025,152,34.24
25.5,88.75,2025,152,32.61
25.5,89.375,2025,152,31.49
26.0,85.625,2025,152,37.63
26.0,86.25,2025,152,37.47
26.0,86.875,2025,152,36.87
26.0,87.5,2025,152,35.59
26.0,88.125,2025,152,34.27
26.0,88.75,2025,152,33.03
26.0,89.375,2025,152,31.54
26.5,85.625,2025,152,37.24
26.5,86.25,2025,152,36.64
26.5,86.875,2025,152,35.51
26.5,87.5,2025,152,33.9
26.5,88.125,2025,152,32.14
26.5,88.75,2025,152,31.56
26.5,89.375,2025,152,29.43
21.0,85.625,2025,153,32.67
21.0,86.25,2025,153,32.97
21.0,86.875,2025,153,32.75
21.0,87.5,2025,153,31.11
21.0,88.125,2025,153,30.66
21.0,88.75,2025,153,30.41
21.0,89.375,2025,153,30.15
21.5,85.625,2025,153,31.91
21.5,86.25,2025,153,32.37
21.5,86.875,2025,153,33.21
21.5,87.5,2025,153,32.26
21.5,88.125,2025,153,31.53
21.5,88.75,2025,153,31.05
21.5,89.375,2025,153,30.5
22.0,85.625,2025,153,31.67
22.0,86.25,2025,153,31.93
22.0,86.875,2025,153,32.93
22.0,87.5,2025,153,33.19
22.0,88.125,2025,153,32.58
22.0,88.75,2025,153,32.04
22.0,89.375,2025,153,31.01
22.5,85.625,2025,153,32.35
22.5,86.25,2025,153,32.17
22.5,86.875,2025,153,32.36
22.5,87.5,2025,153,32.94
