SoilType,Season,Rainfall_mm,Temp_C,Humidity_%,RecommendedCrop
Alluvial,Rabi,1135,29.6,74,Rice
Alluvial,Kharif,1297,30.0,70,Rice
Alluvial,Kharif,1481,31.6,77,Rice
Alluvial,Kharif,1127,30.4,63,Rice
Alluvial,Zaid,1449,29.2,71,Rice
Alluvial,Rabi,1068,29.6,73,Rice
Alluvial,Zaid,1041,29.3,68,Rice
Alluvial,Kharif,1183,30.9,63,Rice
Alluvial,Rabi,1411,28.5,79,Rice
Alluvial,Rabi,1364,30.8,64,Rice
Alluvial,Kharif,1131,28.3,71,Rice
Alluvial,Rabi,1184,30.0,77,Rice
Alluvial,Kharif,1103,28.5,65,Rice
Alluvial,Zaid,1421,31.2,63,Rice
Alluvial,Kharif,1335,29.8,65,Rice
Alluvial,Kharif,1456,31.2,71,Rice
Alluvial,Kharif,1111,31.2,75,Rice
Alluvial,Zaid,1190,31.4,70,Rice
Alluvial,Kharif,1049,28.9,60,Rice
Alluvial,Rabi,1059,29.1,71,Rice
Alluvial,Zaid,1436,31.4,71,Rice
Alluvial,Rabi,1251,28.8,64,Rice
Alluvial,Kharif,1248,30.1,60,Rice
Alluvial,Rabi,1375,30.8,75,Rice
Alluvial,Kharif,1265,29.4,78,Rice
Alluvial,Rabi,1344,28.6,69,Rice
Alluvial,Rabi,1043,29.0,65,Rice
Alluvial,Kharif,1491,28.6,64,Rice
Alluvial,Kharif,1047,30.5,79,Rice
Alluvial,Kharif,1337,30.4,69,Rice
Alluvial,Rabi,1011,31.4,74,Rice
Alluvial,Kharif,1061,29.6,73,Rice
Alluvial,Kharif,1434,29.6,78,Rice
Alluvial,Rabi,1328,28.1,63,Rice
Alluvial,Zaid,1433,31.3,67,Rice
Alluvial,Rabi,1193,28.4,72,Rice
Alluvial,Kharif,1219,28.9,68,Rice
Alluvial,Kharif,1368,30.4,76,Rice
Alluvial,Kharif,1182,31.1,71,Rice
Alluvial,Zaid,1313,30.5,65,Rice
Alluvial,Zaid,1361,30.8,75,Rice
Alluvial,Kharif,1110,28.9,77,Rice
Alluvial,Rabi,1033,31.5,74,Rice
Alluvial,Rabi,1352,30.6,73,Rice
Alluvial,Rabi,1082,30.0,60,Rice
Alluvial,Kharif,1495,30.0,63,Rice
Alluvial,Rabi,1166,30.3,63,Rice
Alluvial,Rabi,1061,30.6,61,Rice
Alluvial,Rabi,1237,30.0,68,Rice
Alluvial,Rabi,1495,29.4,63,Rice
Alluvial,Zaid,1058,29.5,77,Rice
Alluvial,Zaid,1284,30.6,69,Rice
Alluvial,Zaid,1433,31.5,76,Rice
Alluvial,Zaid,1008,31.1,68,Rice
Alluvial,Zaid,1467,30.6,64,Rice
Alluvial,Kharif,1324,28.9,68,Rice
Alluvial,Rabi,1373,28.5,77,Rice
Alluvial,Kharif,1257,30.0,60,Rice
Alluvial,Zaid,1418,29.3,62,Rice
Alluvial,Rabi,1126,30.1,70,Rice
Alluvial,Rabi,1434,31.4,67,Rice
Alluvial,Zaid,1483,30.6,71,Rice
Alluvial,Kharif,1182,31.9,60,Rice
Alluvial,Zaid,1446,28.5,60,Rice
Alluvial,Kharif,1396,29.5,77,Rice
Alluvial,Rabi,1102,31.9,68,Rice
Alluvial,Zaid,1010,30.8,72,Rice
Alluvial,Zaid,1155,28.5,66,Rice
Alluvial,Zaid,1259,30.8,74,Rice
